Death No.,Season,Episode,Victim_Allegiance,Character_ID,Character_Name,Victim,Method,Location,Victim URL,Location_ID
1182,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1183,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1184,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1185,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1186,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1187,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1188,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1189,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1190,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1191,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1192,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1193,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1194,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1195,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1196,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1197,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1198,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1199,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1200,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1201,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1202,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1203,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1204,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1205,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1206,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1207,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1208,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1209,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1210,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1211,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1212,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1213,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1214,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1215,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1216,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1217,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1218,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1219,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1220,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1221,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1222,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1223,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1224,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1225,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1226,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1227,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1228,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1229,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1230,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1231,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1232,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1233,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1234,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1235,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1236,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1237,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1238,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1239,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1240,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1241,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1242,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1243,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1244,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1245,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1246,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1247,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1248,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1249,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1250,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1251,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1252,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1253,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1254,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1255,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1256,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1257,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1258,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1259,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1260,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1261,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1262,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1263,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1264,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1265,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1266,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1267,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1268,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1269,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1270,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1271,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1272,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1273,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1274,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1275,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1276,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1277,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1278,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1279,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1280,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1281,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1282,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1283,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1284,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1285,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1286,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1287,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1288,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1289,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1290,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1291,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1292,7,4,House Targaryen,CH098,Jaime Lannister,Lannister soldier,Sword,Roseroad,,
1293,7,4,House Lannister,CH055,Dothraki man,Lannister soldier,Arakh,Roseroad,,
1294,7,4,House Targaryen,CH098,Jaime Lannister,Lannister soldier,Sword,Roseroad,,
1295,7,4,House Targaryen,CH098,Jaime Lannister,Lannister soldier,Sword,Roseroad,,
1296,7,4,House Lannister,CH055,Dothraki man,Lannister soldier,Arakh,Roseroad,,
1297,7,4,House Targaryen,CH046,Dickon Tarly,Lannister soldier,Sword,Roseroad,,
1298,7,4,House Targaryen,CH031,Bronn,Lannister soldier,Sword,Roseroad,,
1299,7,4,House Targaryen,CH031,Bronn,Lannister soldier,Sword,Roseroad,,
1300,7,4,House Targaryen,CH031,Bronn,Lannister soldier,Giant arrow,Roseroad,,
1301,7,4,House Lannister,CH055,Dothraki man,Lannister soldier,Arakh,Roseroad,,
1302,7,4,House Lannister,CH055,Dothraki man,Lannister soldier,Arakh,Roseroad,,
1303,7,4,House Lannister,CH055,Dothraki man,Lannister soldier,Spear,Roseroad,,
1304,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1305,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1306,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1307,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1308,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1309,7,4,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),Roseroad,,
1310,7,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1311,7,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1312,7,5,House Lannister,CH066,Gendry,Dickon Tarly,Hammer,Roseroad,,
1313,7,5,House Lannister,CH066,Gendry,Randyll Tarly,Hammer,Roseroad,,
1314,7,6,House Stark,CH261,Undead Polar Bear,Undead Polar Bear,Teeth,Beyond the Wall,,
1315,7,6,House Stark,CH261,Undead Polar Bear,Thoros,Teeth,Beyond the Wall,,
1316,7,6,White Walkers,CH106,Jorah Mormont,Wildling,Knife,Beyond the Wall,,
1317,7,6,Free Folk,CH277,Wight,Wildling,Drowning,Beyond the Wall,,
1318,7,6,Brotherhood Without Banners,CH261,Undead Polar Bear,Benjen Stark,Claws,Beyond the Wall,,
1319,7,6,Free Folk,CH277,Wight,Stark Soldier,Teeth,Beyond the Wall,,
1320,7,6,House Stark,CH277,Wight,Stark Soldier,Claws,Beyond the Wall,,
1321,7,6,House Targaryen,CH163,Night King,Stark Soldier,Ice Javelin,Beyond the Wall,,
1322,7,6,House Stark,CH277,Wight,Viserion,Claws,Beyond the Wall,,
1323,7,7,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Rock,Dragonstone,,
1324,7,7,House Baelish,CH008,Arya Stark,Petyr Baelish,Knife,Winterfell,,
1325,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1326,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1327,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1328,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1329,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1330,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1331,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1332,7,7,Night's Watch,CH268,Viserion,Night's Watch brother,Falling,The Wall,,
1333,8,1,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Arrow,The Narrow Sea,,
1334,8,1,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Arrow,The Narrow Sea,,
1335,8,1,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Arrow,The Narrow Sea,,
1336,8,1,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Arrow,The Narrow Sea,,
1337,8,1,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Arrow,The Narrow Sea,,
1338,8,1,House Greyjoy,CH247,Theon Greyjoy,Greyjoy Soldier,Axe,The Narrow Sea,,
1339,8,2,House Umber,CH163,Night King,Ned Umber,Steak,Last Hearth,,
1340,8,3,House Targaryen,CH277,Wight,Giant Wight,Sword,Winterfell,,
1341,8,3,House Targaryen,CH277,Wight,Night King,Sword,Winterfell,,
1342,8,3,House Targaryen,CH277,Wight,"Melisandre ""the Red Woman"" of Asshai",Knife,Winterfell,,
1343,8,3,House Stark,CH277,Wight,Beric Dondarrion,Sword,Winterfell,,
1344,8,3,House Stark,CH277,Wight,Mormont Soldier,Teeth,Winterfell,,
1345,8,3,Night's Watch,CH277,Wight,Mormont Soldier,Sword,Winterfell,,
1346,8,3,House Targaryen,CH277,Wight,Mormont Soldier,Sword,Winterfell,,
1347,8,3,House Targaryen,CH277,Wight,Mormont Soldier,Sword,Winterfell,,
1348,8,3,House Targaryen,CH277,Wight,Mormont Soldier,Sword,Winterfell,,
1349,8,3,House Targaryen,CH277,Wight,Mormont Soldier,Sword,Winterfell,,
1350,8,3,Night's Watch,CH277,Wight,Mormont Soldier,Teeth,Winterfell,,
1351,8,3,Night's Watch,CH277,Wight,Lyanna Mormont,Sword,Winterfell,,
1352,8,3,Night's Watch,CH277,Wight,Stark Soldier,Teeth,Winterfell,,
1353,8,3,Night's Watch,CH277,Wight,Stark Soldier,Sword,Winterfell,,
1354,8,3,House Stark,CH277,Wight,Stark Soldier,Sword,Winterfell,,
1355,8,3,House Stark,CH277,Wight,Stark Soldier,Sword,Winterfell,,
1356,8,3,House Stark,CH277,Wight,Stark Soldier,Sword,Winterfell,,
1357,8,3,House Stark,CH277,Wight,Stark Soldier,Sword,Winterfell,,
1358,8,3,House Stark,CH277,Wight,Stark Soldier,Sword,Winterfell,,
1359,8,3,Night's Watch,CH277,Wight,Unsullied,Knife,Winterfell,,
1360,8,3,House Mormont,CH068,Giant Wight,Jorah Mormont,Club,Winterfell,,
1361,8,3,House Mormont,CH068,Giant Wight,Unsullied,Club,Winterfell,,
1362,8,3,House Mormont,CH068,Giant Wight,Unsullied,Club,Winterfell,,
1363,8,3,House Mormont,CH068,Giant Wight,Unsullied,Club,Winterfell,,
1364,8,3,House Mormont,CH068,Giant Wight,Unsullied,Club,Winterfell,,
1365,8,3,House Mormont,CH068,Giant Wight,Unsullied,Club,Winterfell,,
1366,8,3,House Mormont,CH068,Giant Wight,Unsullied,Club,Winterfell,,
1367,8,3,House Mormont,CH068,Giant Wight,Night's Watch brother,Hands,Winterfell,,
1368,8,3,White Walkers,CH133,Lyanna Mormont,Eddison Tollett,Knife,Winterfell,,
1369,8,3,Brotherhood Without Banners,CH277,Wight,Night's Watch brother,Knife,Winterfell,,
1370,8,3,Smallfolk,CH277,Wight,Night's Watch brother,Teeth,Winterfell,,
1371,8,3,Smallfolk,CH277,Wight,Night's Watch brother,Teeth,Winterfell,,
1372,8,3,House Targaryen,CH277,Wight,Night's Watch brother,Sword,Winterfell,,
1373,8,3,White Walkers,CH008,Arya Stark,Peasant,Knife,Winterfell,,
1374,8,3,Lord of Light,CH151,"Melisandre ""the Red Woman"" of Asshai",Peasant,Old Age,Winterfell,,
1375,8,4,House Targaryen,CH061,Euron Greyjoy,Rhaegal,Giant arrow,Dragonstone,,
1376,8,4,House Targaryen,CH081,Greyjoy Soldier,Unsullied,Giant arrow,Dragonstone,,
1377,8,4,House Targaryen,CH081,Greyjoy Soldier,Unsullied,Giant arrow,Dragonstone,,
1378,8,4,House Targaryen,CH081,Greyjoy Soldier,Unsullied,Giant arrow,Dragonstone,,
1379,8,4,House Targaryen,CH077,"Gregor ""The Mountain"" Clegane",Missandei,Sword,King's Landing,,
1380,8,5,House Targaryen,CH044,Daenerys Targaryen,"Gregor ""The Mountain"" Clegane",Dragonfire (Dragon),King's Landing,,
1381,8,5,House Greyjoy,CH044,Daenerys Targaryen,"Sandor ""The Hound"" Clegane",Dragonfire (Dragon),King's Landing,,
1382,8,5,House Greyjoy,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1383,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1384,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1385,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1386,8,5,House Lannister,CH044,Daenerys Targaryen,Euron Greyjoy,Dragonfire (Dragon),King's Landing,,
1387,8,5,House Lannister,CH044,Daenerys Targaryen,Qyburn,Dragonfire (Dragon),King's Landing,,
1388,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1389,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1390,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1391,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1392,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1393,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1394,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1395,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1396,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1397,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1398,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1399,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1400,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1401,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1402,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1403,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1404,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1405,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1406,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1407,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1408,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1409,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1410,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1411,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1412,8,5,House Lannister,CH044,Daenerys Targaryen,Stark Soldier,Dragonfire (Dragon),King's Landing,,
1413,8,5,House Lannister,CH044,Daenerys Targaryen,King's Landing Citizen,Dragonfire (Dragon),King's Landing,,
1414,8,5,House Lannister,CH044,Daenerys Targaryen,King's Landing Citizen,Dragonfire (Dragon),King's Landing,,
1415,8,5,House Lannister,CH044,Daenerys Targaryen,King's Landing Citizen,Dragonfire (Dragon),King's Landing,,
1416,8,5,House Lannister,CH044,Daenerys Targaryen,King's Landing Citizen,Dragonfire (Dragon),King's Landing,,
1417,8,5,House Lannister,CH044,Daenerys Targaryen,King's Landing Citizen,Dragonfire (Dragon),King's Landing,,
1418,8,5,House Lannister,CH044,Daenerys Targaryen,King's Landing Citizen,Dragonfire (Dragon),King's Landing,,
1419,8,5,House Lannister,CH044,Daenerys Targaryen,Greyjoy Soldier,Dragonfire (Dragon),King's Landing,,
1420,8,5,House Lannister,CH044,Daenerys Targaryen,Greyjoy Soldier,Dragonfire (Dragon),King's Landing,,
1421,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1422,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1423,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1424,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1425,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1426,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1427,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1428,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1429,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1430,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1431,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1432,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1433,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1434,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1435,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1436,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1437,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1438,8,5,House Lannister,CH044,Daenerys Targaryen,Lannister soldier,Dragonfire (Dragon),King's Landing,,
1439,8,5,House Lannister,CH044,Daenerys Targaryen,Golden Company horse,Dragonfire (Dragon),King's Landing,,
1440,8,5,House Lannister,CH044,Daenerys Targaryen,Golden Company soldier,Dragonfire (Dragon),King's Landing,,
1441,8,5,House Lannister,CH044,Daenerys Targaryen,Golden Company soldier,Dragonfire (Dragon),King's Landing,,
1442,8,5,House Lannister,CH044,Daenerys Targaryen,Golden Company soldier,Dragonfire (Dragon),King's Landing,,
1443,8,5,House Lannister,CH044,Daenerys Targaryen,Golden Company soldier,Dragonfire (Dragon),King's Landing,,
1444,8,5,House Lannister,CH044,Daenerys Targaryen,Golden Company soldier,Dragonfire (Dragon),King's Landing,,
