Death_No.,Season,Episode,Character_ID,Victim_House,Character_Name,Victim,Victim_URL,Method,Location,Location_ID
1273,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1274,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1275,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1276,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1277,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1278,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1279,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1280,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1281,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1282,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1283,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1284,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1285,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1286,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1287,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1288,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1289,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1290,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1291,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1292,7,4,CH098,House Targaryen,Jaime Lannister,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Roseroad,LOC038
1293,7,4,CH055,House Lannister,Dothraki man,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Arakh,Roseroad,LOC038
1294,7,4,CH098,House Targaryen,Jaime Lannister,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Roseroad,LOC038
1295,7,4,CH098,House Targaryen,Jaime Lannister,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Roseroad,LOC038
1296,7,4,CH055,House Lannister,Dothraki man,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Arakh,Roseroad,LOC038
1297,7,4,CH046,House Targaryen,Dickon Tarly,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Roseroad,LOC038
1298,7,4,CH031,House Targaryen,Bronn,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Roseroad,LOC038
1299,7,4,CH031,House Targaryen,Bronn,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Sword,Roseroad,LOC038
1300,7,4,CH031,House Targaryen,Bronn,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Giant arrow,Roseroad,LOC038
1301,7,4,CH055,House Lannister,Dothraki man,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Arakh,Roseroad,LOC038
1302,7,4,CH055,House Lannister,Dothraki man,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Arakh,Roseroad,LOC038
1303,7,4,CH055,House Lannister,Dothraki man,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Spear,Roseroad,LOC038
1304,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1305,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1306,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1307,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1308,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1309,7,4,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,Roseroad,LOC038
1310,7,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1311,7,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1312,7,5,CH066,House Lannister,Gendry,Dickon Tarly,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Dickon_Tarly.png,Hammer,Roseroad,LOC038
1313,7,5,CH066,House Lannister,Gendry,Randyll Tarly,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Randyll_Tarly.png,Hammer,Roseroad,LOC038
1314,7,6,CH261,House Stark,Undead Polar Bear,Undead Polar Bear,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Undead_Polarbear.png,Teeth,Beyond the Wall,LOC005
1315,7,6,CH261,House Stark,Undead Polar Bear,Thoros,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Thoros.png,Teeth,Beyond the Wall,LOC005
1316,7,6,CH106,White Walkers,Jorah Mormont,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Knife,Beyond the Wall,LOC005
1317,7,6,CH277,Free Folk,Wight,Wildling,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Wildling.png,Drowning,Beyond the Wall,LOC005
1318,7,6,CH261,Brotherhood Without Banners,Undead Polar Bear,Benjen Stark,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Benjen_Stark.png,Claws,Beyond the Wall,LOC005
1319,7,6,CH277,Free Folk,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Teeth,Beyond the Wall,LOC005
1320,7,6,CH277,House Stark,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Claws,Beyond the Wall,LOC005
1321,7,6,CH163,House Targaryen,Night King,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Ice Javelin,Beyond the Wall,LOC005
1322,7,6,CH277,House Stark,Wight,Viserion,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Viserion_OG.png,Claws,Beyond the Wall,LOC005
1323,7,7,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Rock,Dragonstone,LOC011
1324,7,7,CH008,House Baelish,Arya Stark,Petyr Baelish,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Petyr_Baelish.png,Knife,Winterfell,LOC064
1325,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1326,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1327,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1328,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1329,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1330,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1331,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1332,7,7,CH268,Night's Watch,Viserion,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Falling,The Wall,LOC056
1333,8,1,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Arrow,The Narrow Sea,LOC048
1334,8,1,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Arrow,The Narrow Sea,LOC048
1335,8,1,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Arrow,The Narrow Sea,LOC048
1336,8,1,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Arrow,The Narrow Sea,LOC048
1337,8,1,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Arrow,The Narrow Sea,LOC048
1338,8,1,CH247,House Greyjoy,Theon Greyjoy,Greyjoy Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Greyjoy_Soldier.png,Axe,The Narrow Sea,LOC048
1339,8,2,CH163,House Umber,Night King,Ned Umber,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Ned_Umber.png,Steak,Last Hearth,LOC023
1340,8,3,CH277,House Targaryen,Wight,Giant Wight,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/GiantWhite.png,Sword,Winterfell,LOC064
1341,8,3,CH277,House Targaryen,Wight,Night King,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night_King.png,Sword,Winterfell,LOC064
1342,8,3,CH277,House Targaryen,Wight,Melisandre,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Melisandre.png,Knife,Winterfell,LOC064
1343,8,3,CH277,House Stark,Wight,Beric Dondarrion,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Beric_Dondarrion.png,Sword,Winterfell,LOC064
1344,8,3,CH277,House Stark,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Teeth,Winterfell,LOC064
1345,8,3,CH277,Night's Watch,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Sword,Winterfell,LOC064
1346,8,3,CH277,House Targaryen,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Sword,Winterfell,LOC064
1347,8,3,CH277,House Targaryen,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Sword,Winterfell,LOC064
1348,8,3,CH277,House Targaryen,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Sword,Winterfell,LOC064
1349,8,3,CH277,House Targaryen,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Sword,Winterfell,LOC064
1350,8,3,CH277,Night's Watch,Wight,Mormont Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Mormont_Soldier.png,Teeth,Winterfell,LOC064
1351,8,3,CH277,Night's Watch,Wight,Lyanna Mormont,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lyanna_Mormont.png,Sword,Winterfell,LOC064
1352,8,3,CH277,Night's Watch,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Teeth,Winterfell,LOC064
1353,8,3,CH277,Night's Watch,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Winterfell,LOC064
1354,8,3,CH277,House Stark,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Winterfell,LOC064
1355,8,3,CH277,House Stark,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Winterfell,LOC064
1356,8,3,CH277,House Stark,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Winterfell,LOC064
1357,8,3,CH277,House Stark,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Winterfell,LOC064
1358,8,3,CH277,House Stark,Wight,Stark Soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Stark_Soldier.png,Sword,Winterfell,LOC064
1359,8,3,CH277,Night's Watch,Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Winterfell,LOC064
1360,8,3,CH068,House Mormont,Giant Wight,Jorah Mormont,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Jorah_Mormont.png,Club,Winterfell,LOC064
1361,8,3,CH068,House Mormont,Giant Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Club,Winterfell,LOC064
1362,8,3,CH068,House Mormont,Giant Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Club,Winterfell,LOC064
1363,8,3,CH068,House Mormont,Giant Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Club,Winterfell,LOC064
1364,8,3,CH068,House Mormont,Giant Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Club,Winterfell,LOC064
1365,8,3,CH068,House Mormont,Giant Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Club,Winterfell,LOC064
1366,8,3,CH068,House Mormont,Giant Wight,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Club,Winterfell,LOC064
1367,8,3,CH068,House Mormont,Giant Wight,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Hands,Winterfell,LOC064
1368,8,3,CH133,White Walkers,Lyanna Mormont,Eddison Tollett,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Eddison_Tollet.png,Knife,Winterfell,LOC064
1369,8,3,CH277,Brotherhood Without Banners,Wight,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Knife,Winterfell,LOC064
1370,8,3,CH277,Smallfolk,Wight,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Teeth,Winterfell,LOC064
1371,8,3,CH277,Smallfolk,Wight,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Teeth,Winterfell,LOC064
1372,8,3,CH277,House Targaryen,Wight,Night's Watch Brother,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Night's_Watch_Brother.png,Sword,Winterfell,LOC064
1373,8,3,CH008,White Walkers,Arya Stark,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Knife,Winterfell,LOC064
1374,8,3,CH151,Lord of Light,Melisandre,Peasant,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Old Age,Winterfell,LOC064
1375,8,4,CH061,House Targaryen,Euron Greyjoy,Rhaegal,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Rhaegar.png,Giant arrow,Dragonstone,LOC011
1376,8,4,CH081,House Targaryen,Greyjoy Soldier,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Giant arrow,Dragonstone,LOC011
1377,8,4,CH081,House Targaryen,Greyjoy Soldier,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Giant arrow,Dragonstone,LOC011
1378,8,4,CH081,House Targaryen,Greyjoy Soldier,Unsullied,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/NotAvailable.png,Giant arrow,Dragonstone,LOC011
1379,8,4,CH077,House Targaryen,Gregor Clegane,Missandei,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Missandei.png,Sword,King's Landing,LOC021
1380,8,5,CH044,House Targaryen,Daenerys Targaryen,Gregor Clegane,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/The_Hound.png,Dragonfire,King's Landing,LOC021
1381,8,5,CH044,House Greyjoy,Daenerys Targaryen,Sandor Clegane,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/The_Mountain.png,Dragonfire,King's Landing,LOC021
1382,8,5,CH044,House Greyjoy,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1383,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1384,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1385,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1386,8,5,CH044,House Lannister,Daenerys Targaryen,Euron Greyjoy,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/EaronGreyjoy.png,Dragonfire,King's Landing,LOC021
1387,8,5,CH044,House Lannister,Daenerys Targaryen,Qyburn,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Qyburn.png,Dragonfire,King's Landing,LOC021
1388,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1389,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1390,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1391,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1392,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1393,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1394,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1395,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1396,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1397,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1398,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1399,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1400,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1401,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1402,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1403,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1404,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
1405,8,5,CH044,House Lannister,Daenerys Targaryen,Lannister soldier,https://raw.githubusercontent.com/MrAnderson-Data/got-tableau-dashboard/main/images/characters/Lannister_Soldier.png,Dragonfire,King's Landing,LOC021
